LocationID,lat,lon
1,191376.749531,935996.821016
2,164018.754403,1031085.718604
3,254265.478659,1026452.616874
4,202959.782392,990633.980643
5,140681.351376,931871.370068
6,157998.935612,964319.735447
7,216719.218169,1006496.679159
8,222936.087554,1005551.571189
9,212969.849014,1043002.677424
10,186706.496469,1042223.605073
11,159429.316884,982170.783234
12,195378.972862,979934.730624
13,198691.525438,979792.331029
14,166921.550422,975952.035082
15,224738.612976,1043521.383046
16,217243.760496,1047016.784330
17,191215.068359,998142.206078
18,255416.742153,1014623.327275
19,207352.352516,1060002.749610
20,251810.303513,1015821.861453
21,158393.657786,988821.391578
22,162323.828724,985566.417655
23,160268.123713,936800.381423
24,231458.376056,993807.271657
25,189071.579139,988101.221324
26,169148.407469,987397.462667
27,142998.097107,1010116.052590
28,198588.180364,1037276.450260
29,150924.276878,995023.095008
30,159266.086884,1033697.381939
31,251801.913395,1018696.400632
32,254085.684147,1021618.218391
33,192774.492366,985567.139363
34,194618.425747,992238.744875
35,181203.321105,1009147.231499
36,194506.264574,1007067.378455
37,192491.072549,1005813.837636
38,192354.375342,1057581.885731
39,171746.348940,1012077.483152
40,186726.944173,985371.611029
41,232321.290548,997734.645235
42,237395.871548,1000643.632259
43,224356.212212,993789.009698
44,130813.717309,919325.670701
45,198844.636117,984762.469284
46,248697.327000,1044565.404971
47,246329.044266,1011831.010201
48,216986.070034,987063.185704
49,189923.679931,994687.798907
50,218437.820285,985597.534388
51,257736.031772,1031744.971090
52,189441.987182,985158.534259
53,223823.082735,1027782.026538
54,189642.160298,983442.583194
55,149479.235295,987599.176310
56,209422.594856,1023365.172612
57,213218.634925,1024817.453806
58,245891.954293,1033945.796696
59,244801.239916,1013307.866879
60,243143.057810,1015824.071710
61,185009.747695,1001091.014154
62,182119.288574,998457.147476
63,188441.231894,1018038.508019
64,216496.533698,1056461.169228
65,192606.948348,988108.376646
66,195128.663515,988214.545986
67,165020.585399,980418.277886
68,211948.912400,984272.778635
69,242196.037614,1007764.085655
70,217413.870581,1020706.745135
71,174013.844301,1001465.156216
72,176959.914925,1005823.703994
73,214077.620674,1037640.237812
74,231170.723135,1001596.482200
75,227103.759625,999272.111385
76,180096.554283,1018425.395770
77,182139.047295,1013278.128653
78,247139.970246,1015923.650932
79,204368.501875,988147.657992
80,199911.286345,1001771.884299
81,260268.376470,1029422.420140
82,208718.589250,1018302.534288
83,208286.312745,1014131.047956
84,131946.886583,932076.450193
85,174677.623597,997674.781285
86,158853.814991,1052215.570596
87,196785.940844,982171.727888
88,195528.924800,981057.264300
89,171682.828385,995082.890243
90,209708.741848,985089.218653
91,167452.065768,1003654.144024
92,216612.815951,1031660.720870
93,209164.120470,1028348.080639
94,251942.571725,1012040.665243
95,202150.221556,1026474.842159
96,193239.009530,1019865.180905
97,190949.618064,991215.698246
98,206939.617855,1045981.358172
99,149465.339575,932463.577064
100,213801.890335,987356.762398
101,211194.127386,1064321.684436
102,195621.721840,1018703.895664
103,190614.322127,971690.517873
104,193859.360776,972944.834552
105,190219.673876,978960.565510
106,184655.374484,986844.285358
107,207721.845998,988669.590716
108,153648.266724,989407.327455
109,140370.836973,942318.069521
110,138144.926286,948580.606957
111,176867.702606,986959.765289
112,205059.362641,998235.393847
113,206174.923834,985828.421263
114,204630.607988,984976.121747
115,164432.112929,959864.008142
116,240584.409685,998496.714123
117,155778.337707,1042676.051911
118,153002.199894,947313.211553
119,244528.839532,1004682.755374
120,247748.727532,1003566.260361
121,204689.627473,1039005.196744
122,198271.785638,1050471.507056
123,157857.787642,994154.464210
124,179131.794411,1027278.140099
125,203883.820115,982175.147751
126,235158.326934,1015935.021634
127,254822.370056,1006568.487211
128,257117.892564,1005166.552862
129,215206.601513,1016021.970768
130,195964.285115,1041371.286428
131,201910.069620,1046313.573760
132,175062.677585,1043488.186862
133,172661.463675,990855.508987
134,197284.979273,1031739.002250
135,204694.614606,1033808.066483
136,254530.650811,1010274.320256
137,209039.353890,990763.615738
138,221428.044928,1019251.306970
139,186064.869917,1055193.049418
140,218166.434353,996787.663052
141,218699.192727,995431.197518
142,221132.775349,989365.068475
143,221982.085494,987671.709704
144,201915.790276,985104.148525
145,210842.564941,998411.743135
146,214074.296656,1002305.987360
147,237923.244821,1012217.112270
148,201205.264892,986773.546092
149,159666.945594,998651.508669
150,150763.567009,999908.708732
151,229997.644626,993063.376861
152,237290.906786,997042.628829
153,258429.141536,1009034.686271
154,155545.396170,1011301.603514
155,163199.946837,1007772.073828
156,169323.095683,937831.397916
157,203062.482655,1011322.056623
158,207069.855248,981760.163011
159,237403.265207,1008372.343191
160,201008.748072,1017500.333774
161,215447.527224,990428.525990
162,214959.581642,991908.589567
163,217776.882447,990463.795429
164,212002.893035,988362.833434
165,165498.628945,996235.968139
166,234186.326872,994834.787252
167,240777.450486,1011274.103123
168,233426.310532,1007276.655262
169,248626.500662,1010498.896619
170,211701.315981,990209.600063
171,219265.332376,1037005.246089
172,147604.722496,955074.284025
173,213491.233527,1022197.087079
174,258865.702768,1017705.685373
175,209946.980831,1052245.039653
176,144049.900290,950189.721817
177,185807.868763,1008206.486389
178,164182.164211,992488.334213
